COUNTY,Year,Housing_Units,Population,Units_Per_Capita,Pop_Growth
Ferry,1994,3430,6648,0.5159446450060169,1.3260173754000915
Ferry,1995,3519,6812,0.5165883734586024,2.46690734055355
Ferry,1996,3595,6950,0.5172661870503598,2.0258367586611863
Ferry,1997,3655,7058,0.5178520827429867,1.553956834532374
Ferry,1998,3699,7135,0.5184302733006307,1.0909606120714084
Ferry,1999,3729,7184,0.5190701559020044,0.6867554309740714
Ferry,2000,3775,7260,0.5199724517906336,1.0579064587973273
Ferry,2001,3835,7340,0.5224795640326976,1.1019283746556474
Ferry,2002,3880,7378,0.5258877744646245,0.5177111716621253
Ferry,2003,3914,7397,0.529133432472624,0.2575223637842234
Ferry,2004,3925,7367,0.5327813221121216,-0.405569825604975
Ferry,2005,3969,7405,0.5359891964888589,0.5158137640830731
Ferry,2006,4021,7462,0.5388635754489413,0.7697501688048616
Ferry,2007,4071,7484,0.5439604489577766,0.2948271240954168
Ferry,2008,4121,7529,0.5473502457165627,0.6012827365045431
Ferry,2009,4168,7563,0.551104059235753,0.4515871961747908
Ferry,2010,4403,7551,0.5831015759502053,-0.15866719555731854
Ferry,2011,4418,7514,0.5879691243013042,-0.49000132432790355
Ferry,2012,4438,7477,0.5935535642637422,-0.4924141602342294
Ferry,2013,4459,7449,0.5986038394415357,-0.37448174401497925
Ferry,2014,4473,7404,0.6041329011345219,-0.6041079339508658
Ferry,2015,4494,7354,0.6110960021756867,-0.6753106428957321
Ferry,2016,4520,7319,0.6175707063806531,-0.4759314658689149
Ferry,2017,4548,7283,0.6244679390361115,-0.4918704741084847
Ferry,2018,4566,7234,0.631186065800387,-0.6727996704654675
Ferry,2019,4602,7209,0.6383687057844362,-0.3455902681780481
Ferry,2020,4059,7178,0.5654778489830036,-0.4300180330142877
Ferry,2021,4104,7250,0.5660689655172414,1.0030649205906939
Ferry,2022,4131,7300,0.5658904109589041,0.6896551724137931
Ferry,2023,4150,7300,0.5684931506849316,0.0
Ferry,2024,4173,7350,0.5677551020408164,0.684931506849315
Ferry,2025,4188,7350,0.5697959183673469,0.0
Franklin,1990,13664,37473,0.36463587116056895,
Franklin,1991,13883,38522,0.3603914646176211,2.799348864515785
Franklin,1992,13918,39077,0.3561685902193106,1.4407351643216861
Franklin,1993,14116,40092,0.35209019255711865,2.597435831819229
Franklin,1994,14370,41280,0.3481104651162791,2.9631846752469317
Franklin,1995,14635,42516,0.34422335120895664,2.994186046511628
Franklin,1996,14859,43694,0.3400695747699913,2.770721610687741
Franklin,1997,15204,45180,0.3365205843293493,3.400924612074884
Franklin,1998,15473,46465,0.3330033358441838,2.8441788401947767
Franklin,1999,15780,47900,0.32943632567849684,3.0883460669320995
Franklin,2000,16084,49347,0.3259367337426794,3.0208768267223385
Franklin,2001,16472,50473,0.32635270342559386,2.281800312075709
Franklin,2002,17085,52286,0.3267605095054125,3.5920194955718903
Franklin,2003,17762,54907,0.3234924508714736,5.012814137627663
Franklin,2004,18731,58576,0.3197726031139033,6.68220809732821
Franklin,2005,20297,62572,0.32437831617976093,6.821906582900847
Franklin,2006,21441,66371,0.323047716623224,6.071405740586844
Franklin,2007,22256,69582,0.3198528355034348,4.83795633635172
Franklin,2008,22902,72230,0.31707046933407174,3.805581903365813
Franklin,2009,23544,75111,0.3134560849942086,3.9886473764363837
Franklin,2010,24423,78163,0.31246241827974874,4.063319620295296
Franklin,2011,25070,80493,0.31145565452896523,2.980950065887952
Franklin,2012,25633,82484,0.31076329954900345,2.4735070130321892
Franklin,2013,26206,84251,0.3110467531542652,2.1422336453130306
Franklin,2014,26608,86544,0.3074505453873174,2.721629416861521
Franklin,2015,26930,87053,0.3093517742065179,0.588140136809022
Franklin,2016,27365,88515,0.3091566401174942,1.6794366650201602
Franklin,2017,27862,90036,0.3094539961793061,1.7183528215556683
Franklin,2018,28476,92626,0.30742987929954874,2.876627126927007
Franklin,2019,29110,94734,0.30728144066544216,2.2758188845464558
Franklin,2020,29740,96749,0.30739335807088447,2.127008254692085
Franklin,2021,30441,98350,0.3095170310116929,1.6547974656068796
Franklin,2022,31036,99750,0.3111378446115288,1.4234875444839856
Franklin,2023,31439,101100,0.3109693372898121,1.3533834586466165
Franklin,2024,31954,102300,0.312355816226784,1.1869436201780417
Franklin,2025,32433,103250,0.31412106537530265,0.9286412512218964
Garfield,1990,1209,2248,0.5378113879003559,
Garfield,1991,1212,2259,0.5365205843293492,0.4893238434163701
Garfield,1992,1219,2272,0.5365316901408451,0.5754758742806552
Garfield,1993,1217,2268,0.5365961199294532,-0.17605633802816903
Garfield,1994,1240,2310,0.5367965367965368,1.8518518518518516
Garfield,1995,1247,2322,0.5370370370370371,0.5194805194805194
Garfield,1996,1259,2344,0.5371160409556314,0.9474590869939706
Garfield,1997,1264,2354,0.5369583687340697,0.42662116040955633
Garfield,1998,1267,2360,0.536864406779661,0.2548853016142736
Garfield,1999,1273,2372,0.5366779089376054,0.5084745762711864
Garfield,2000,1288,2397,0.5373383395911556,1.0539629005059024
Garfield,2001,1292,2382,0.5424013434089001,-0.6257822277847309
Garfield,2002,1296,2365,0.5479915433403806,-0.7136859781696054
Garfield,2003,1296,2348,0.5519591141396933,-0.718816067653277
Garfield,2004,1297,2325,0.5578494623655914,-0.9795570698466781
Garfield,2005,1303,2315,0.5628509719222462,-0.43010752688172044
Garfield,2006,1308,2306,0.5672159583694709,-0.38876889848812096
Garfield,2007,1311,2287,0.5732400524704854,-0.823937554206418
Garfield,2008,1318,2278,0.5785776997366111,-0.3935286401399213
Garfield,2009,1326,2272,0.5836267605633803,-0.2633889376646181
Garfield,2010,1233,2266,0.5441306266548985,-0.2640845070422535
Garfield,2011,1235,2266,0.5450132391879965,0.0
Garfield,2012,1235,2260,0.5464601769911505,-0.264783759929391
Garfield,2013,1238,2260,0.547787610619469,0.0
Garfield,2014,1234,2252,0.5479573712255773,-0.35398230088495575
